Epoch,Batch,Filename,Augmentation,True Labels,Predicted Labels,Probabilities
1,1,1907_133_box_7.ply,combo,"0.0,1.0,0.0,0.0","0,1,1,0","Good_layer:0.2487,Ditch:0.6887,Crater:0.6377,Waves:0.3511"
1,1,2415_46_box_0.ply,none,"0.0,0.0,0.0,1.0","1,0,0,1","Good_layer:0.6489,Ditch:0.4714,Crater:0.4673,Waves:0.5912"
1,1,2317_291_box_6.ply,none,"0.0,0.0,1.0,0.0","1,0,1,1","Good_layer:0.5662,Ditch:0.3601,Crater:0.5089,Waves:0.6356"
1,1,2439_126_box_5.ply,none,"0.0,0.0,1.0,0.0","1,0,0,1","Good_layer:0.6887,Ditch:0.3336,Crater:0.3387,Waves:0.6181"
1,1,803_163_box_7.ply,flip_x,"0.0,1.0,0.0,0.0","1,1,1,0","Good_layer:0.5897,Ditch:0.5361,Crater:0.5804,Waves:0.4611"
1,1,1305_38_box_6.ply,flip_x,"0.0,0.0,0.0,1.0","0,1,1,0","Good_layer:0.4125,Ditch:0.5252,Crater:0.5602,Waves:0.3531"
1,1,2118_46_box_5.ply,flip_x,"0.0,0.0,0.0,1.0","1,1,1,0","Good_layer:0.5113,Ditch:0.5913,Crater:0.5718,Waves:0.3902"
1,1,1212_313_box_6.ply,jitter,"0.0,0.0,1.0,0.0","1,0,0,1","Good_layer:0.6448,Ditch:0.2708,Crater:0.3913,Waves:0.6534"
1,1,1247_177_box_6.ply,none,"0.0,1.0,1.0,0.0","0,0,1,0","Good_layer:0.4735,Ditch:0.3558,Crater:0.5674,Waves:0.4161"
1,1,2014_101_box_2.ply,rotate180,"0.0,1.0,1.0,0.0","1,0,1,1","Good_layer:0.5591,Ditch:0.4599,Crater:0.6142,Waves:0.5432"
1,1,1166_40_box_3.ply,rotate180,"0.0,0.0,0.0,1.0","0,1,1,0","Good_layer:0.4338,Ditch:0.5529,Crater:0.5867,Waves:0.2602"
1,1,2195_18_box_1.ply,rotate180,"0.0,1.0,1.0,0.0","0,0,0,1","Good_layer:0.3800,Ditch:0.3561,Crater:0.3135,Waves:0.5707"
1,1,116_16_box_1.ply,combo,"0.0,1.0,0.0,0.0","1,1,1,1","Good_layer:0.6520,Ditch:0.5300,Crater:0.6580,Waves:0.5361"
1,1,236_198_box_7.ply,jitter,"0.0,1.0,0.0,0.0","1,0,1,1","Good_layer:0.5176,Ditch:0.4790,Crater:0.6369,Waves:0.5047"
1,1,1709_173_box_1.ply,none,"0.0,1.0,0.0,0.0","1,1,1,1","Good_layer:0.5947,Ditch:0.5098,Crater:0.6025,Waves:0.5676"
1,1,85_12_box_4.ply,none,"1.0,0.0,0.0,0.0","0,0,1,0","Good_layer:0.4904,Ditch:0.4829,Crater:0.6901,Waves:0.4330"
1,1,377_33_box_6.ply,jitter,"0.0,0.0,0.0,1.0","1,1,0,0","Good_layer:0.5306,Ditch:0.5433,Crater:0.4452,Waves:0.4285"
1,1,1039_93_box_5.ply,combo,"0.0,1.0,1.0,0.0","1,0,1,1","Good_layer:0.5088,Ditch:0.4168,Crater:0.5192,Waves:0.5837"
1,1,1907_133_box_7.ply,flip_x,"0.0,1.0,0.0,0.0","1,1,0,1","Good_layer:0.6350,Ditch:0.5731,Crater:0.4494,Waves:0.5138"
1,1,1555_59_box_7.ply,flip_x,"0.0,0.0,1.0,0.0","1,1,1,0","Good_layer:0.5322,Ditch:0.5483,Crater:0.6590,Waves:0.4867"
1,1,394_21_box_6.ply,none,"1.0,0.0,0.0,0.0","1,0,0,1","Good_layer:0.6591,Ditch:0.4024,Crater:0.4593,Waves:0.6249"
1,1,2074_46_box_3.ply,jitter,"0.0,0.0,0.0,1.0","0,1,1,0","Good_layer:0.4430,Ditch:0.5716,Crater:0.5472,Waves:0.4000"
1,1,1280_124_box_2.ply,none,"0.0,1.0,1.0,0.0","0,0,0,0","Good_layer:0.4720,Ditch:0.4273,Crater:0.3679,Waves:0.3825"
1,1,1039_93_box_5.ply,flip_x,"0.0,1.0,1.0,0.0","1,0,1,1","Good_layer:0.5233,Ditch:0.4978,Crater:0.6092,Waves:0.6520"
1,1,368_242_box_1.ply,none,"1.0,0.0,0.0,0.0","0,0,1,1","Good_layer:0.3896,Ditch:0.4158,Crater:0.7067,Waves:0.5940"
1,1,1539_18_box_0.ply,flip_x,"0.0,1.0,0.0,0.0","1,0,0,1","Good_layer:0.6136,Ditch:0.2168,Crater:0.3140,Waves:0.6070"
1,1,39_323_box_2.ply,flip_x,"0.0,0.0,1.0,0.0","0,1,1,0","Good_layer:0.4816,Ditch:0.5366,Crater:0.5389,Waves:0.4532"
1,1,1733_35_box_2.ply,jitter,"0.0,0.0,0.0,1.0","1,0,0,1","Good_layer:0.5248,Ditch:0.4861,Crater:0.4853,Waves:0.5656"
1,1,1060_310_box_7.ply,none,"0.0,0.0,1.0,0.0","0,0,1,0","Good_layer:0.3978,Ditch:0.4169,Crater:0.6815,Waves:0.4942"
1,1,1399_27_box_2.ply,combo,"0.0,1.0,0.0,1.0","1,0,0,0","Good_layer:0.5488,Ditch:0.3937,Crater:0.4807,Waves:0.4358"
1,1,2261_79_box_4.ply,none,"1.0,0.0,0.0,0.0","1,0,1,0","Good_layer:0.5732,Ditch:0.4655,Crater:0.6342,Waves:0.4497"
1,1,859_51_box_2.ply,none,"0.0,0.0,1.0,0.0","0,0,0,0","Good_layer:0.4688,Ditch:0.4158,Crater:0.4989,Waves:0.4437"
1,2,2278_209_box_7.ply,none,"1.0,0.0,0.0,0.0","0,0,1,1","Good_layer:0.4499,Ditch:0.4647,Crater:0.5064,Waves:0.5035"
1,2,2026_335_box_6.ply,none,"0.0,1.0,0.0,0.0","0,0,1,1","Good_layer:0.4666,Ditch:0.4370,Crater:0.5504,Waves:0.5892"
1,2,2550_136_box_3.ply,none,"1.0,0.0,0.0,0.0","1,1,1,0","Good_layer:0.5016,Ditch:0.5347,Crater:0.5238,Waves:0.3216"
1,2,1230_274_box_7.ply,none,"1.0,0.0,0.0,0.0","1,0,1,1","Good_layer:0.6076,Ditch:0.3535,Crater:0.5189,Waves:0.5911"
